Name,Created,Created By,Last Edited By,Last Edited Time,Module,Status,Type
Introduction to Machine Learning,"Jan 18, 2021 1:34 PM",Khanh Vương,Khanh Vương,"Jan 24, 2021 11:31 PM",Introduction to Machine Learning,,Introduction to Machine Learning
Python for Machine Learning,"Jan 18, 2021 1:37 PM",Khanh Vương,Khanh Vương,"Jan 24, 2021 11:36 PM",Introduction to Machine Learning,,Introduction to Machine Learning
Mathematic for Machine Learning,"Jan 18, 2021 1:39 PM",Khanh Vương,Khanh Vương,"Jan 27, 2021 2:53 PM",Introduction to Machine Learning,,Introduction to Machine Learning
Correlation & Regression,"Jan 18, 2021 1:40 PM",Khanh Vương,Khanh Vương,"Jan 18, 2021 1:57 PM",Introduction to Machine Learning,,Introduction to Machine Learning
Probability & Probability Distribution,"Jan 18, 2021 1:40 PM",Khanh Vương,Khanh Vương,"Feb 8, 2021 5:33 PM",Introduction to Machine Learning,,Introduction to Machine Learning
Descriptive Statistic,"Jan 18, 2021 1:40 PM",Khanh Vương,Khanh Vương,"Jan 24, 2021 11:54 PM",Introduction to Machine Learning,,Introduction to Machine Learning
Machine Learning Foundation,"Jan 18, 2021 1:41 PM",Khanh Vương,Khanh Vương,"Feb 8, 2021 5:51 PM",Introduction to Machine Learning,,Introduction to Machine Learning
Regression Classification,"Jan 20, 2021 12:13 AM",Khanh Vương,Khanh Vương,"Jan 30, 2021 7:44 PM",Regression,Archived,Regression Problem
Simple Linear Regression,"Jan 21, 2021 1:32 PM",Khanh Vương,Khanh Vương,"Feb 12, 2021 8:01 PM",Regression,Archived,Regression Problem
Multiple Regression,"Jan 30, 2021 11:48 AM",Khanh Vương,Khanh Vương,"Feb 13, 2021 11:49 AM",Regression,Archived,Regression Problem
Performance Evaluation,"Feb 13, 2021 11:50 AM",Khanh Vương,Khanh Vương,"Feb 13, 2021 4:31 PM",Regression,Archived,Regression Problem